Makecode: 0x10
Breakcode: 0x90
Makecode: 0x11
Breakcode: 0x91
Makecode: 0x12
Breakcode: 0x92
Makecode: 0x13
Breakcode: 0x93
Makecode: 0x14
Breakcode: 0x94
Makecode: 0x15
Breakcode: 0x95
Makecode: 0x16
Breakcode: 0x96
Makecode: 0xe0 0x48
Breakcode: 0xe0 0xc8
Makecode: 0xe0 0x50
Breakcode: 0xe0 0xd0
Makecode: 0xe0 0x4b
Breakcode: 0xe0 0xcb
Makecode: 0xe0 0x4d
Breakcode: 0xe0 0xcd
Makecode: 0xe0 0x48
Makecode: 0xe0 0x4b
Breakcode: 0xe0 0xc8
Makecode: 0xe0 0x4d
Breakcode: 0xe0 0xcb
Breakcode: 0xe0 0xcd
Makecode: 0xe0 0x50
Breakcode: 0xe0 0xd0
Makecode: 0xe0 0x4d
Makecode: 0xe0 0x48
Breakcode: 0xe0 0xcd
Makecode: 0xe0 0x4b
Breakcode: 0xe0 0xc8
Makecode: 0xe0 0x50
Breakcode: 0xe0 0xd0
Makecode: 0xe0 0x4d
Breakcode: 0xe0 0xcb
Makecode: 0xe0 0x48
Breakcode: 0xe0 0xcd
Makecode: 0xe0 0x4b
Breakcode: 0xe0 0xc8
Breakcode: 0xe0 0xcb
Makecode: 0xe0 0x50
Breakcode: 0xe0 0xd0
Makecode: 0xe0 0x4d
Makecode: 0xe0 0x48
Breakcode: 0xe0 0xcd
Makecode: 0xe0 0x4b
Breakcode: 0xe0 0xc8
Makecode: 0xe0 0x50
Breakcode: 0xe0 0xcb
Breakcode: 0xe0 0xd0
Makecode: 0xe0 0x4d
Makecode: 0xe0 0x48
Breakcode: 0xe0 0xcd
Makecode: 0xe0 0x4b
Breakcode: 0xe0 0xc8
Breakcode: 0xe0 0xcb
Makecode: 0x01
Breakcode: 0x81
sys_inb_calls: 216
