(xf, yf): (20, 20)
(xi, y1): (20, 707)
(xi, y1): (20, 697)
(xi, y1): (20, 687)
(xi, y1): (20, 677)
(xi, y1): (20, 667)
(xi, y1): (20, 657)
(xi, y1): (20, 647)
(xi, y1): (20, 637)
(xi, y1): (20, 627)
(xi, y1): (20, 617)
(xi, y1): (20, 607)
(xi, y1): (20, 597)
(xi, y1): (20, 587)
(xi, y1): (20, 577)
(xi, y1): (20, 567)
(xi, y1): (20, 557)
(xi, y1): (20, 547)
(xi, y1): (20, 537)
(xi, y1): (20, 527)
(xi, y1): (20, 517)
(xi, y1): (20, 507)
(xi, y1): (20, 497)
(xi, y1): (20, 487)
(xi, y1): (20, 477)
(xi, y1): (20, 467)
(xi, y1): (20, 457)
(xi, y1): (20, 447)
(xi, y1): (20, 437)
(xi, y1): (20, 427)
(xi, y1): (20, 417)
(xi, y1): (20, 407)
(xi, y1): (20, 397)
(xi, y1): (20, 387)
(xi, y1): (20, 377)
(xi, y1): (20, 367)
(xi, y1): (20, 357)
(xi, y1): (20, 347)
(xi, y1): (20, 337)
(xi, y1): (20, 327)
(xi, y1): (20, 317)
(xi, y1): (20, 307)
(xi, y1): (20, 297)
(xi, y1): (20, 287)
(xi, y1): (20, 277)
(xi, y1): (20, 267)
(xi, y1): (20, 257)
(xi, y1): (20, 247)
(xi, y1): (20, 237)
(xi, y1): (20, 227)
(xi, y1): (20, 217)
(xi, y1): (20, 207)
(xi, y1): (20, 197)
(xi, y1): (20, 187)
(xi, y1): (20, 177)
(xi, y1): (20, 167)
(xi, y1): (20, 157)
(xi, y1): (20, 147)
(xi, y1): (20, 137)
(xi, y1): (20, 127)
(xi, y1): (20, 117)
(xi, y1): (20, 107)
(xi, y1): (20, 97)
(xi, y1): (20, 87)
(xi, y1): (20, 77)
(xi, y1): (20, 67)
(xi, y1): (20, 57)
(xi, y1): (20, 47)
(xi, y1): (20, 37)
(xi, y1): (20, 27)
(xi, y1): (20, 20)
